Array size = 16x16, Total time = 0.000000
Array size = 32x32, Total time = 0.000000
Array size = 48x48, Total time = 0.000000
Array size = 64x64, Total time = 0.000000
Array size = 80x80, Total time = 0.000000
Array size = 96x96, Total time = 0.000000
Array size = 112x112, Total time = 0.010000
Array size = 128x128, Total time = 0.010000
Array size = 144x144, Total time = 0.000000
Array size = 160x160, Total time = 0.020000
Array size = 176x176, Total time = 0.020000
Array size = 192x192, Total time = 0.020000
Array size = 208x208, Total time = 0.040000
Array size = 224x224, Total time = 0.030000
Array size = 240x240, Total time = 0.040000
Array size = 256x256, Total time = 0.080000
Array size = 272x272, Total time = 0.070000
Array size = 288x288, Total time = 0.090000
Array size = 304x304, Total time = 0.100000
Array size = 320x320, Total time = 0.120000
Array size = 336x336, Total time = 0.130000
Array size = 352x352, Total time = 0.160000
Array size = 368x368, Total time = 0.170000
Array size = 384x384, Total time = 0.260000
Array size = 400x400, Total time = 0.220000
Array size = 416x416, Total time = 0.270000
Array size = 432x432, Total time = 0.290000
Array size = 448x448, Total time = 0.370000
Array size = 464x464, Total time = 0.360000
Array size = 480x480, Total time = 0.420000
Array size = 496x496, Total time = 0.450000
Array size = 512x512, Total time = 0.690000
