Array size = 1x1, Tile size = 1, Total time = 0.000000
Array size = 2x2, Tile size = 1, Total time = 0.000000
Array size = 2x2, Tile size = 2, Total time = 0.000000
Array size = 4x4, Tile size = 1, Total time = 0.000000
Array size = 4x4, Tile size = 2, Total time = 0.000000
Array size = 4x4, Tile size = 4, Total time = 0.000000
Array size = 8x8, Tile size = 1, Total time = 0.000000
Array size = 8x8, Tile size = 2, Total time = 0.000000
Array size = 8x8, Tile size = 4, Total time = 0.000000
Array size = 8x8, Tile size = 8, Total time = 0.000000
Array size = 16x16, Tile size = 1, Total time = 0.000000
Array size = 16x16, Tile size = 2, Total time = 0.000000
Array size = 16x16, Tile size = 4, Total time = 0.000000
Array size = 16x16, Tile size = 8, Total time = 0.000000
Array size = 16x16, Tile size = 16, Total time = 0.000000
Array size = 32x32, Tile size = 1, Total time = 0.000000
Array size = 32x32, Tile size = 2, Total time = 0.000000
Array size = 32x32, Tile size = 4, Total time = 0.000000
Array size = 32x32, Tile size = 8, Total time = 0.000000
Array size = 32x32, Tile size = 16, Total time = 0.000000
Array size = 32x32, Tile size = 32, Total time = 0.000000
Array size = 64x64, Tile size = 1, Total time = 0.000000
Array size = 64x64, Tile size = 2, Total time = 0.000000
Array size = 64x64, Tile size = 4, Total time = 0.000000
Array size = 64x64, Tile size = 8, Total time = 0.000000
Array size = 64x64, Tile size = 16, Total time = 0.000000
Array size = 64x64, Tile size = 32, Total time = 0.000000
Array size = 64x64, Tile size = 64, Total time = 0.000000
Array size = 128x128, Tile size = 1, Total time = 0.000000
Array size = 128x128, Tile size = 2, Total time = 0.000000
Array size = 128x128, Tile size = 4, Total time = 0.010000
Array size = 128x128, Tile size = 8, Total time = 0.000000
Array size = 128x128, Tile size = 16, Total time = 0.010000
Array size = 128x128, Tile size = 32, Total time = 0.010000
Array size = 128x128, Tile size = 64, Total time = 0.010000
Array size = 128x128, Tile size = 128, Total time = 0.000000
Array size = 256x256, Tile size = 1, Total time = 0.000000
Array size = 256x256, Tile size = 2, Total time = 0.010000
Array size = 256x256, Tile size = 4, Total time = 0.040000
Array size = 256x256, Tile size = 8, Total time = 0.060000
Array size = 256x256, Tile size = 16, Total time = 0.060000
Array size = 256x256, Tile size = 32, Total time = 0.070000
Array size = 256x256, Tile size = 64, Total time = 0.080000
Array size = 256x256, Tile size = 128, Total time = 0.070000
Array size = 256x256, Tile size = 256, Total time = 0.080000
Array size = 512x512, Tile size = 1, Total time = 0.000000
Array size = 512x512, Tile size = 2, Total time = 0.180000
Array size = 512x512, Tile size = 4, Total time = 0.390000
Array size = 512x512, Tile size = 8, Total time = 0.530000
Array size = 512x512, Tile size = 16, Total time = 0.620000
Array size = 512x512, Tile size = 32, Total time = 0.660000
Array size = 512x512, Tile size = 64, Total time = 0.680000
Array size = 512x512, Tile size = 128, Total time = 0.690000
Array size = 512x512, Tile size = 256, Total time = 0.700000
Array size = 512x512, Tile size = 512, Total time = 0.710000
